t,pressure,temperature,density
0.0024860000000000056,101325.0,469.562630566856,0.7518672856517659
0.0024870000000000057,101325.0,469.64302645222807,0.7517385771802083
0.002488000000000006,101325.0,469.7234325638619,0.7516098964038923
0.002489000000000006,101325.0,469.80384890210024,0.751481243316452
0.002490000000000006,101325.0,469.8842754672857,0.7513526179115242
0.0024910000000000062,101325.0,469.96471225976046,0.7512240201827465
0.0024920000000000064,101325.0,470.04515927986637,0.7510954501237583
0.0024930000000000065,101325.0,470.125616527945,0.7509669077282011
0.0024940000000000066,101325.0,470.20608400433764,0.7508383929897173
0.0024950000000000068,101325.0,470.2865617093851,0.7507099059019516
0.002496000000000007,101325.0,470.3670496434281,0.75058144645855
0.002497000000000007,101325.0,470.4475478068069,0.7504530146531602
0.002498000000000007,101325.0,470.52805619986134,0.7503246104794312
0.0024990000000000073,101325.0,470.6085748229311,0.7501962339310143
0.0025000000000000074,101325.0,470.68910367635544,0.7500678850015621
0.0025010000000000076,101325.0,470.7696427604734,0.7499395636847285
0.0025020000000000077,101325.0,470.8501920756236,0.7498112699741692
0.002503000000000008,101325.0,470.93075162214444,0.7496830038635421
0.002504000000000008,101325.0,471.01132140037384,0.7495547653465059
0.002505000000000008,101325.0,471.09190141064954,0.7494265544167213
0.0025060000000000082,101325.0,471.1724916533089,0.7492983710678507
0.0025070000000000084,101325.0,471.25309212868893,0.7491702152935581
0.0025080000000000085,101325.0,471.33370283712634,0.749042087087509
0.0025090000000000086,101325.0,471.4143237789575,0.7489139864433706
0.0025100000000000088,101325.0,471.49495495451856,0.7487859133548115
0.002511000000000009,101325.0,471.5755963641452,0.7486578678155023
0.002512000000000009,101325.0,471.65624800817284,0.748529849819115
0.002513000000000009,101325.0,471.7369098869366,0.7484018593593232
0.0025140000000000093,101325.0,471.8175820007712,0.7482738964298024
0.0025150000000000094,101325.0,471.8982643500111,0.7481459610242294
0.0025160000000000095,101325.0,471.9789569349905,0.7480180531362824
0.0025170000000000097,101325.0,472.05965975604306,0.747890172759642
0.00251800000000001,101325.0,472.1403728135023,0.7477623198879898
0.00251900000000001,101325.0,472.22109610770144,0.7476344945150091
0.00252000000000001,101325.0,472.30182963897323,0.7475066966343848
0.00252100000000001,101325.0,472.38257340765017,0.7473789262398037
0.0025220000000000103,101325.0,472.46332741406445,0.7472511833249541
0.0025230000000000105,101325.0,472.5440916585479,0.7471234678835256
0.0025240000000000106,101325.0,472.6248661414321,0.7469957799092097
0.0025250000000000107,101325.0,472.70565086304816,0.7468681193956995
0.002526000000000011,101325.0,472.786445823727,0.7467404863366898
0.002527000000000011,101325.0,472.8672510237991,0.7466128807258766
0.002528000000000011,101325.0,472.9480664635947,0.7464853025569582
0.0025290000000000113,101325.0,473.0288921434438,0.7463577518236338
0.0025300000000000114,101325.0,473.1097280636758,0.7462302285196049
0.0025310000000000115,101325.0,473.19057422462004,0.7461027326385739
0.0025320000000000117,101325.0,473.27143062660537,0.7459752641742451
0.002533000000000012,101325.0,473.35229726996045,0.7458478231203248
0.002534000000000012,101325.0,473.4331741550135,0.7457204094705205
0.002535000000000012,101325.0,473.5140612820924,0.7455930232185412
0.002536000000000012,101325.0,473.59495865152485,0.7454656643580979
0.0025370000000000123,101325.0,473.67586626363806,0.7453383328829029
0.0025380000000000125,101325.0,473.756784118759,0.7452110287866703
0.0025390000000000126,101325.0,473.83771221721435,0.7450837520631156
0.0025400000000000127,101325.0,473.91865055933033,0.7449565027059563
0.002541000000000013,101325.0,473.99959914543297,0.7448292807089107
0.002542000000000013,101325.0,474.08055797584785,0.7447020860656999
0.002543000000000013,101325.0,474.16152705090036,0.7445749187700454
0.0025440000000000133,101325.0,474.24250637091546,0.7444477788156713
0.0025450000000000134,101325.0,474.3234959362178,0.7443206661963027
0.0025460000000000135,101325.0,474.4044957471317,0.7441935809056662
0.0025470000000000137,101325.0,474.4855058039812,0.7440665229374906
0.002548000000000014,101325.0,474.56652610709,0.743939492285506
0.002549000000000014,101325.0,474.6475566567814,0.743812488943444
0.002550000000000014,101325.0,474.7285974533784,0.7436855129050377
0.002551000000000014,101325.0,474.8096484972038,0.7435585641640221
0.0025520000000000143,101325.0,474.89070978857984,0.7434316427141336
0.0025530000000000145,101325.0,474.97178132782864,0.7433047485491107
0.0025540000000000146,101325.0,475.05286311527186,0.7431778816626927
0.0025550000000000147,101325.0,475.1339551512309,0.7430510420486209
0.002556000000000015,101325.0,475.2150574360268,0.7429242297006384
0.002557000000000015,101325.0,475.2961699699804,0.7427974446124894
0.002558000000000015,101325.0,475.3772927534119,0.7426706867779203
0.0025590000000000153,101325.0,475.45842578664144,0.7425439561906786
0.0025600000000000154,101325.0,475.53956906998883,0.7424172528445134
0.0025610000000000155,101325.0,475.6207226037734,0.7422905767331761
0.0025620000000000157,101325.0,475.7018863883142,0.7421639278504186
0.002563000000000016,101325.0,475.78306042393007,0.7420373061899954
0.002564000000000016,101325.0,475.8642447109394,0.7419107117456619
0.002565000000000016,101325.0,475.9454392496602,0.7417841445111756
0.002566000000000016,101325.0,476.02664404041025,0.7416576044802953
0.0025670000000000163,101325.0,476.10785908350704,0.7415310916467813
0.0025680000000000165,101325.0,476.1890843792676,0.7414046060043957
0.0025690000000000166,101325.0,476.2703199280088,0.7412781475469024
